id_propiedad,ciudad,barrio_distrito,tipo_operacion,tipo_inmueble,precio,superficie_m2,habitaciones,baños,estado,año_construccion,planta,ascensor,terraza,piscina,garaje,trastero,distancia_centro_km,fecha_publicacion,rango_m2,precio_m2
1,Madrid,Arganzuela,Venta,Piso,,57.8,2.0,1.0,Buen estado,2000-01-01,2,True,True,False,False,True,4.1,2024-11-04,40-80,
2,Madrid,Arganzuela,Alquiler,Sin_clasificar,,,3.0,1.0,Buen estado,1996-01-01,Bajo,True,True,False,False,True,5.26,2024-10-16,,
3,Madrid,Salamanca,Venta,Piso,821455.0,153.98,4.0,2.0,Buen estado,1996-01-01,3,False,True,False,False,False,5.13,2025-03-24,120-160,5334.82
4,Madrid,Arganzuela,Venta,Piso,337577.0,74.0,2.0,1.0,Buen estado,1945-01-01,Bajo,True,True,False,False,False,5.52,2024-11-18,40-80,4561.85
5,Madrid,Arganzuela,Venta,Piso,394652.0,82.0,3.0,2.0,Buen estado,1981-01-01,5,True,False,True,False,True,5.97,2024-11-04,80-120,4812.83
6,Madrid,Salamanca,Venta,Piso,270381.0,55.5,2.0,1.0,Buen estado,1994-01-01,4,True,False,True,True,True,6.83,2024-10-20,40-80,4871.73
7,Madrid,Arganzuela,Venta,Piso,290384.0,65.0,2.0,1.0,Reformado,1999-01-01,1,True,False,True,True,False,4.81,2025-02-27,40-80,4467.45
8,Madrid,Retiro,Alquiler,Piso,427541.0,94.8,3.0,2.0,Reformado,1970-01-01,9,True,False,False,False,False,7.07,2024-11-27,80-120,4509.93
9,Madrid,Arganzuela,Venta,Piso,,83.3,3.0,2.0,Obra nueva,2018-01-01,3,True,True,False,False,False,5.54,2024-11-03,80-120,
10,Madrid,Madrid-Centro,Venta,Piso,487128.0,90.1,3.0,2.0,Buen estado,1975-01-01,5,True,False,False,False,True,7.45,,80-120,5406.53
11,Madrid,Chamberí,Venta,Piso,234086.0,51.4,2.0,1.0,Buen estado,1991-01-01,1,False,True,True,False,False,,2025-03-13,40-80,4554.2
12,Madrid,Arganzuela,Venta,Piso,563753.0,99.0,3.0,2.0,Buen estado,1998-01-01,6,False,False,True,True,False,7.87,2024-12-17,80-120,5694.47
13,Madrid,Arganzuela,Venta,Piso,471044.0,101.3,3.0,2.0,Buen estado,1977-01-01,Bajo,True,True,False,False,False,5.35,2024-12-06,80-120,4649.99
14,Madrid,Salamanca,Alquiler,Piso,359713.0,79.6,2.0,1.0,Buen estado,1972-01-01,9,False,False,False,False,False,4.83,2024-12-28,40-80,4519.01
15,Madrid,Chamberí,Venta,Piso,404155.0,99.5,3.0,2.0,Reformado,1989-01-01,7,True,False,False,True,False,3.35,2024-11-14,80-120,4061.86
16,Madrid,Retiro,Venta,Piso,302729.0,73.7,2.0,1.0,Buen estado,1993-01-01,9,True,True,False,True,True,2.4,2025-01-26,40-80,4107.58
17,Madrid,Tetuán,Venta,Piso,599599.0,108.9,3.0,2.0,A reformar,1990-01-01,8,True,False,False,True,True,3.59,2025-02-12,80-120,5505.96
18,Madrid,Salamanca,Alquiler,Piso,299734.0,68.9,2.0,1.0,Buen estado,1988-01-01,2,True,True,False,False,False,7.29,2025-04-01,40-80,4350.28
19,Madrid,Madrid-Centro,Venta,Estudio,140800.0,30.9,0.0,1.0,Buen estado,1956-01-01,7,False,True,True,True,True,6.41,2025-02-21,0-40,4556.63
20,Madrid,Retiro,Alquiler,Piso,431652.0,87.8,3.0,2.0,Buen estado,1977-01-01,1,False,False,False,True,True,4.1,2025-04-01,80-120,4916.31
21,Madrid,Tetuán,Alquiler,Piso,484526.0,95.2,3.0,2.0,Buen estado,1951-01-01,4,False,False,False,True,False,5.54,2025-01-28,80-120,5089.56
22,Madrid,Chamberí,Venta,Piso,316064.0,62.3,2.0,1.0,Reformado,1978-01-01,4,False,False,False,True,True,6.45,2025-02-14,40-80,5073.26
23,Madrid,Chamberí,Venta,Ático,510165.0,99.5,3.0,2.0,Buen estado,1988-01-01,Ático,True,False,False,False,True,5.66,2025-02-15,80-120,5127.29
24,Madrid,Tetuán,Venta,Piso,416207.0,130.8,4.0,2.0,Buen estado,1976-01-01,8,False,True,False,False,False,4.13,2024-10-09,120-160,3182.01
25,Madrid,Tetuán,Venta,Piso,272025.0,61.8,2.0,1.0,Reformado,1985-01-01,4,False,False,False,True,False,6.43,2024-12-09,40-80,4401.7
26,Madrid,Salamanca,Venta,Piso,507831.0,97.2,3.0,2.0,Buen estado,1971-01-01,7,False,False,False,False,True,4.97,2024-10-26,80-120,5224.6
27,Madrid,Tetuán,Alquiler,Piso,454263.0,86.7,3.0,2.0,Buen estado,1998-01-01,8,True,False,False,False,False,3.63,2024-11-20,80-120,5239.48
28,Madrid,Retiro,Venta,Piso,425792.0,75.5,2.0,1.0,A reformar,1986-01-01,8,False,True,False,False,True,6.48,2025-04-03,40-80,5639.63
29,Madrid,Chamberí,Alquiler,Piso,370480.0,68.1,2.0,1.0,Buen estado,1974-01-01,5,False,True,False,True,False,4.46,2025-01-29,40-80,5440.23
30,Madrid,Tetuán,Venta,Piso,456013.0,81.6,3.0,2.0,Buen estado,1989-01-01,Bajo,True,True,False,True,True,,2025-03-08,80-120,5588.39
31,Madrid,Tetuán,Venta,Ático,434936.0,83.4,3.0,2.0,Buen estado,1983-01-01,Ático,True,True,True,True,False,5.08,2024-10-24,80-120,5215.06
32,Madrid,Chamberí,Venta,Piso,577461.0,92.6,3.0,2.0,Buen estado,1984-01-01,8,True,False,False,True,True,6.36,2024-12-08,80-120,6236.08
33,Madrid,Retiro,Venta,Piso,390970.0,80.7,3.0,2.0,Buen estado,2000-01-01,9,True,True,True,False,True,4.86,2025-03-05,80-120,4844.73
34,Madrid,Madrid-Centro,Venta,Piso,335042.0,72.2,2.0,1.0,Buen estado,2001-01-01,1,False,False,False,False,False,6.02,2024-11-02,40-80,4640.47
35,Madrid,Arganzuela,Venta,Piso,370080.0,79.0,2.0,1.0,Buen estado,1990-01-01,Bajo,False,False,True,True,False,,2025-03-30,40-80,4684.56
36,Madrid,Arganzuela,Alquiler,Piso,645789.0,112.8,3.0,2.0,Buen estado,1978-01-01,5,False,False,True,True,False,6.78,2024-11-05,80-120,5725.08
37,Madrid,Chamberí,Venta,Piso,282192.0,66.8,2.0,1.0,Buen estado,1990-01-01,2,False,False,False,False,False,,2024-12-19,40-80,4224.43
38,Madrid,Madrid-Centro,Venta,Piso,632835.0,114.6,3.0,2.0,Buen estado,1954-01-01,8,True,True,False,True,False,7.08,2024-11-03,80-120,5522.12
39,Madrid,Salamanca,Venta,Sin_clasificar,,,4.0,1.0,Buen estado,1996-01-01,1,True,False,False,True,True,3.92,2024-12-08,,
40,Madrid,Chamberí,Venta,Piso,296289.0,53.5,2.0,1.0,Reformado,1983-01-01,Bajo,True,True,False,True,False,6.64,2024-11-20,40-80,5538.11
41,Madrid,Madrid-Centro,Venta,Piso,387340.0,76.8,2.0,1.0,Reformado,1986-01-01,7,True,True,True,True,False,5.6,2024-12-21,40-80,5043.49
42,Madrid,Madrid-Centro,Venta,Piso,390323.0,77.9,2.0,1.0,Obra nueva,2023-01-01,7,True,True,False,False,True,5.76,2024-11-17,40-80,5010.56
